X,Y,OBJECTID,ETE_CD,ETE_NM,ETE_ACH_CD,ETE_AA_OPERACAO,ETE_DS_STATUS,ETE_DS_INTEGRADO,ETE_DS_TOTAL,ETE_DS_TIPOLOGIA,ETE_NM_CORPORECEPTOR,ETE_QT_POPPROJ,ETE_PC_REMOCAODBO,ETE_PC_REMOCAOP,ETE_PC_REMOCAON,ETE_MUN_CD_IBGE,ETE_NM_REGIAOMETROP,ETE_DS_TIPOLOGRESUMIDA
-46.317407925,-23.5270507453088,3394,3552502_ETE_1,ETE Suzano,86699391,0,Ativa,Sim,Não,Lodos Ativados Convencional, ,0,0.88,0,0,3552502,RM São Paulo - SP,LAT
-46.350463955,-23.9718802492989,3395,3548500_ETE_1,EPC Santos/São Vicente,1,0,Ativa,Sim (3548500),Não,EPC - Estação de Pré Condicionamento (Peneiramento/Gradeamento/Primário),Emissário submarino,0,0.30000001,0,0,3551009,RM Baixada Santista - SP,SIM
-46.847936645,-23.5113492153091,3396,3505708_ETE_1,ETE Barueri,866975,0,Ativa,Sim,Não,Lodos Ativados Convencional, ,0,0.88,0,0,3550308,RM São Paulo - SP,LAT
-46.44779581,-23.4844417053097,3397,3550308_ETE_5,ETE São Miguel - São Paulo,86699373,0,Ativa,Sim,Não,Lodos Ativados Convencional, ,0,0.88,0,0,3550308,RM São Paulo - SP,LAT
-46.586312601,-23.6111925073069,3398,3550308_ETE_1,ETE ABC,86699261,0,Ativa,Sim,Não,Lodos Ativados Convencional, ,0,0.88,0,0,3550308,RM São Paulo - SP,LAT
-46.586148353,-23.6111454473069,3399,3550308_ETE_1,ETE ABC,86699261,0,Ativa,Sim,Não,Lodos Ativados Convencional, ,0,0.88,0,0,3548807,RM São Paulo - SP,LAT
-46.586165131,-23.6112063203069,3400,3550308_ETE_1,ETE ABC,86699261,0,Ativa,Sim,Não,Lodos Ativados Convencional, ,0,0.88,0,0,3548708,RM São Paulo - SP,LAT
-46.3501,-23.9718579992989,3401,3548500_ETE_1,EPC Santos/São Vicente,0,0,Ativa,Sim (3551009),Não,EPC - Estação de Pré Condicionamento (Peneiramento/Gradeamento/Primário),Emissário submarino,0,0.2,0,0,3548500,RM Baixada Santista - SP,SIM
-46.586297237,-23.6111333833069,3402,3550308_ETE_1,ETE ABC,86699261,0,Ativa,Sim,Não,Lodos Ativados Convencional, ,0,0.88,0,0,3547809,RM São Paulo - SP,LAT
-46.848249695,-23.5113257403091,3403,3505708_ETE_1,ETE Barueri,866975,0,Ativa,Sim,Não,Lodos Ativados Convencional, ,0,0.88,0,0,3547304,RM São Paulo - SP,LAT
