ibge;municipio;Masculino;Feminino;Total;perc_masc;perc_feminino
330170;DUQUE DE CAXIAS;447559;481890;929449;0,481531531;0,518468469
280480;NOSSA SENHORA DO SOCORRO;90400;97333;187733;0,481534946;0,518465054
354980;SAO JOSE DO RIO PRETO;225926;243247;469173;0,481540924;0,518459076
270910;TAQUARANA;9709;10453;20162;0,481549449;0,518450551
500270;CAMPO GRANDE;441122;474879;916001;0,48157371;0,51842629
315210;PONTE NOVA;28896;31107;60003;0,481575921;0,518424079
230190;BARBALHA;29698;31964;61662;0,481625637;0,518374363
260440;CHA DE ALEGRIA;6571;7070;13641;0,481709552;0,518290448
220840;PIRIPIRI;30748;33081;63829;0,481724608;0,518275392
431560;RIO GRANDE;102556;110325;212881;0,481752716;0,518247284
320310;JERONIMO MONTEIRO;5943;6393;12336;0,4817607;0,5182393
210330;CODO;59436;63932;123368;0,481778095;0,518221905
291910;LAMARAO;3892;4186;8078;0,481802426;0,518197574
315180;POCOS DE CALDAS;81829;88009;169838;0,481806192;0,518193808
172085;SUCUPIRA;967;1040;2007;0,481813652;0,518186348
220557;LAGOA DE SAO FRANCISCO;3274;3521;6795;0,481824871;0,518175129
316530;SAO VICENTE DE MINAS;3795;4081;7876;0,481843575;0,518156425
230765;MARACANAU;111301;119685;230986;0,481851714;0,518148286
210600;LIMA CAMPOS;5755;6188;11943;0,481872226;0,518127774
240480;IPUEIRA;1091;1173;2264;0,481890459;0,518109541
290750;CATU;26611;28611;55222;0,481891275;0,518108725
260540;FEIRA NOVA;10776;11584;22360;0,481932021;0,518067979
310600;BELA VISTA DE MINAS;4949;5320;10269;0,481935924;0,518064076
250060;ALHANDRA;9574;10291;19865;0,481953184;0,518046816
330070;CABO FRIO;112823;121254;234077;0,481990969;0,518009031
292130;MILAGRES;5224;5614;10838;0,482007751;0,517992249
311220;CAPELA NOVA;2225;2391;4616;0,482019064;0,517980936
251340;SANTA LUZIA;7457;8013;15470;0,482029735;0,517970265
270770;RIO LARGO;36472;39190;75662;0,48203854;0,51796146
410280;BELA VISTA DO PARAISO;7424;7976;15400;0,482077922;0,517922078
270100;BOCA DA MATA;13223;14206;27429;0,482081009;0,517918991
352900;MARILIA;116787;125462;242249;0,482094869;0,517905131
