CO_MUNICIPIO_ESC,CO_UF_ESC,SG_UF_ESC,media_notas_CN,media_notas_CH,media_NU_NOTA_LC,media_NU_NOTA_MT,media_NU_NOTA_REDACAO
150150,15,PA,466.548502994012,482.030285714286,463.317142857143,486.160479041916,578.628571428571
150157,15,PA,427.905263157895,484.695454545455,477.381818181818,462.3,510.909090909091
150160,15,PA,445.6875,469.206666666667,434.513333333333,464.175,476
150170,15,PA,469.073952095808,496.274117647059,474.068529411765,498.010778443114,629
150172,15,PA,439.824242424242,480.938235294118,451.332352941177,468.057575757576,508.823529411765
150175,15,PA,415.933333333333,442.383333333333,406.983333333333,458.933333333333,493.333333333333
150178,15,PA,427.7,455.908163265306,427.740816326531,446.682978723404,515.510204081633
150180,15,PA,456.968874172186,484.448089171975,459.242356687898,475.393377483444,576.942675159236
150190,15,PA,444.163636363636,445.603571428571,440.857142857143,461.54,551.071428571429
150195,15,PA,444.622222222222,431.711111111111,418.866666666667,430.711111111111,495.555555555556
150200,15,PA,431.666666666667,460.095238095238,434.642857142857,442.314285714286,578.095238095238
150210,15,PA,458.223604060914,477.78,462.470617283951,491.105076142132,623.160493827161
150215,15,PA,503.053383458647,527.579850746269,513.336567164179,531.055639097744,661.194029850746
